docid,docsrc,docno,title,text,section_ann
2366,ies,ies-2366,1.2.1 Basic IR System Architecture," 1.2.1 Basic IR System Architecture
Figure 1.1 illustrates the major components in an IR system. Before conducting a search, a user
has an information need, which underlies and drives the search process. We sometimes refer
to this information need as a topic, particularly when it is presented in written form as part  6 Information Retrieval: Implementing and Evaluating Search Engines · c MIT Press, 2010 · DRAFT
Information Need
Index
User
Query
Result
Documents
Deletions Additions Search Engine
Figure 1.1 Components of an IR system.
of a test collection for IR evaluation. As a result of her information need, the user constructs
and issues a query to the IR system. Typically, this query consists of a small number of terms,
with two to three terms being typical for a Web search. We use “term” instead of “word”,
because a query term may in fact not be a word at all. Depending on the information need,
a query term may be a date, a number, a musical note, or a phrase. Wildcard operators and
other partial-match operators may also be permitted in query terms. For example, the term
“inform*” might match any word starting with that prefix (“inform”, “informs”, “informal”,
“informant”, “informative”, etc.).  1.2 Information Retrieval Systems 7
Although users typically issue simple keyword queries, IR systems often support a richer
query syntax, frequently with complex Boolean and pattern matching operators (Chapter 5).
These facilities may be used to limit a search to a particular Web site, to specify constraints
on fields such as author and title, or to apply other filters, restricting the search to a subset of
the collection. A user interface mediates between the user and the IR system, simplifying the
query-creation process when these richer query facilities are required.
The user’s query is processed by a search engine, which may be running on the user’s local
machine, on a large cluster of machines in a remote geographic location, or anywhere in between.
A major task of a search engine is to maintain and manipulate an inverted index for a document
collection. This index forms the principal data structure used by the engine for searching and
relevance ranking. As its basic function, an inverted index provides a mapping between terms
and the locations in the collection in which they occur. Because the size of an inverted list is on
the same order of magnitude as the document collection itself, care must be taken that index
access and update operations are performed efficiently.
To support relevance ranking algorithms, the search engine maintains collection statistics
associated with the index, such as the number of documents containing each term and the
length of each document. In addition, the search engine usually has access to the original
content of the documents, in order to report meaningful results back to the user.
Using the inverted index, collection statistics, and other data, the search engine accepts
queries from its users, processes these queries, and returns ranked lists of results. To perform
relevance ranking, the search engine computes a score, sometimes called a retrieval status value
(RSV), for each document. After sorting documents according to their scores, the result list
may be subjected to further processing, such as the removal of duplicate or redundant results.
For example, a Web search engine might report only one or two results from a single host or
domain, eliminating the others in favor of pages from different sources. The problem of scoring
documents with respect to a user’s query is one of the most fundamental in the field.
 ",
2375,mir2,mir2-2375,1.2.1 The User’s Task," 1.2.1 The User’s Task
The user of a retrieval system has to translate their information need into a query in
the language provided by the system. With an IR system, such as a search engine, this
usually implies specifying a set of words that convey the semantics of the information
need. We say that the user is searching or querying for information of their interest.
While searching for information of interest is the main retrieval task on the Web,
search can also be used for satisfying other user needs distinct from information
access, such as the buying of goods and the placing of reservations, as we discuss in
section 1.4.3.
Consider now a user who has an interest that is either poorly defined or inherently
broad, such that the query to specify is unclear. To illustrate, the user might be
interested in documents about car racing in general and might decide to glance related
documents about Formula 1 racing, Formula Indy, and the ‘24 Hours of Le Mans.’
We say that the user is browsing or navigating the documents in the collection, not
searching. It is still a process of retrieving information, but one whose main objectives
are less clearly defined in the beginning. The task in this case is more related to
exploratory search and resembles a process of quasi-sequential search for information
of interest.
In this book, we make a clear distinction between the different tasks the user of
the retrieval system might be engaged in. The task might be then of two distinct  types: searching and browsing, as illustrated in Figure 1.1. This two different tasks
are covered in detail in Chapter 2.
 ",
2367,ies,ies-2367,1.2.2 Documents and Update," 1.2.2 Documents and Update
Throughout this book we use “document” as a generic term to refer to any self-contained unit
that can be returned to the user as a search result. In practice, a particular document might be
an e-mail message, a Web page, a news article, or even a video. When predefined components of
a larger object may be returned as individual search results, such as pages or paragraphs from a
book, we refer to these components as elements. When arbitrary text passages, video segments,
or similar material may be returned from larger objects, we refer to them as snippets.
For most applications, the update model is relatively simple. Documents may be added or
deleted in their entirety. Once a document has been added to the search engine, its contents
are not modified. This update model is sufficient for most IR applications. For example, when
a Web crawler discovers that a page has been modified, the update may be viewed as a deletion
of the old page and an addition of the new page. Even in the context of file system search,
in which individual blocks of a file may be arbitrarily modified, most word processors and  Information Retrieval: Implementing and Evaluating Search Engines · c MIT Press, 2010 · DRAFT
other applications dealing with textual data rewrite entire files when a user saves changes. One
important exception is e-mail applications, which often append new messages to the ends of
mail folders. Because mail folders can be large in size and can grow quickly, it may be important
to support append operations.
 ",
2376,mir2,mir2-2376,1.2.2 Information versus Data Retrieval," 1.2.2 Information versus Data Retrieval
Data retrieval, in the context of an IR system, consists mainly of determining which
documents of a collection contain the keywords in the user query which, most frequently,
is not enough to satisfy the user information need. In fact, the user of an
IR system is concerned more with retrieving information about a subject than with
retrieving data that satisfies a given query. For instance, a user of an IR system is
willing to accept documents that contain synonyms of the query terms in the result
set, even when those documents do not contain any query terms. That is, in an IR
system the retrieved objects might be inaccurate and small errors are likely to go
unnoticed.
In a data retrieval system, on the contrary, a single erroneous object among a
thousand retrieved objects means total failure. A data retrieval system, such as a
relational database, deals with data that has a well defined structure and semantics,
while an IR system deals with natural language text which is not well structured.
Data retrieval, while providing a solution to the user of a database system, does not
solve the problem of retrieving information about a subject or topic.
1.3 The IR System
In this section we provide a high level view of the software architecture of an IR
system. We also intro ",
2368,ies,ies-2368,1.2.3 Performance Evaluation," 1.2.3 Performance Evaluation
There are two principal aspects to measuring IR system performance: efficiency and effectiveness.
Efficiency may be measured in terms of time (e.g., seconds per query) and space (e.g.,
bytes per document). The most visible aspect of efficiency is the response time (also known as
latency) experienced by a user between issuing a query and receiving the results. When many
simultaneous users must be supported, the query throughput, measured in queries per second,
becomes an important factor in system performance. For a general-purpose Web search engine,
the required throughput may range well beyond tens of thousands of queries per second. Effi-
ciency may also be considered in terms of storage space, measured by the bytes of disk and
memory required to store the index and other data structures. In addition, when thousands of
machines are working cooperatively to generate a search result, their power consumption and
carbon footprint become important considerations.
Effectiveness is more difficult to measure than efficiency, since it depends entirely on human
judgment. The key idea behind measuring effectiveness is the notion of relevance: A document
is considered relevant to a given query if its contents (completely or partially) satisfy the information
need represented by the query. To determine relevance, a human assessor reviews a
document/topic pair and assigns a relevance value. The relevance value may be binary (“relevant”
or “not relevant”) or graded (e.g., “perfect”, “excellent”, “good”, “fair”, “acceptable”,
“not relevant”, “harmful”).
The fundamental goal of relevance ranking is frequently expressed in terms of the Probability
Ranking Principle (PRP), which we phrase as follows:
If an IR system’s response to each query is a ranking of the documents in the collection
in order of decreasing probability of relevance, then the overall effectiveness of the system
to its users will be maximized.
This assumption is well established in the field of IR and forms the basis of the standard IR
evaluation methodology. Nonetheless, it overlooks important aspects of relevance that must be
considered in practice. In particular, the basic notion of relevance may be extended to consider
the size and scope of the documents returned. The specificity of a document reflects the degree
to which its contents are focused on the information need. A highly specific document consists
primarily of material related to the information need. In a marginally specific document, most
of the material is not related to the topic. The exhaustivity of a document reflects the degree
to which it covers the information related to the need. A highly exhaustive document provides
full coverage; a marginally exhaustive document may cover only limited aspects. Specificity  1.3 Working with Electronic Text 9
and exhaustivity are independent dimensions. A large document may provide full coverage but
contain enough extraneous material that it is only marginally specific.
When relevance is viewed in the context of a complete ranked document list, the notion of
novelty comes to light. Once the user examines the top-ranked document and learns its relevant
content, her information need may shift. If the second document contains little or no novel
information, it may not be relevant with respect to this revised information need.
1.3 Working with Electronic Text
Human-language data in the form of electronic text represents the raw material of information
retrieval. Building an IR system requires an understanding of both electronic text formats and
the characteristics of the text they encode.
1.3.1 Text Formats
The works of William Shakespeare provide a ready example of a large body of English-language
text with many electronic versions freely available on the Web. Shakespeare’s canonical works
include 37 plays and more than a hundred sonnets and poems. Figure 1.2 shows the start of the
first act of one play, Macbeth.
This figure presents the play as it might appear on a printed page. From the perspective of an
IR system, there are two aspects of this page that must be considered when it is represented in
electronic form, and ultimately when it is indexed by the system. The first aspect, the content
of the page, is the sequence of words in the order they might normally be read: “Thunder and
lightning. Enter three Witches First Witch When shall we...” The second aspect is the structure
of the page: the breaks between lines and pages, the labeling of speeches with speakers, the
stage directions, the act and scene numbers, and even the page number.
The content and structure of electronic text may be encoded in myriad document formats
supported by various word processing programs and desktop publishing systems. These formats
include Microsoft Word, HTML, XML, XHTML, LATEX, MIF, RTF, PDF, PostScript, SGML,
and others. In some environments, such as file system search, e-mail formats and even program
source code formats would be added to this list. Although a detailed description of these formats
is beyond our scope, a basic understanding of their impact on indexing and retrieval is important.
Two formats are of special interest to us. The first, HTML (HyperText Markup Language), is
the fundamental format for Web pages. Of particular note is its inherent support for hyperlinks,
which explicitly represent relationships between Web pages and permit these relationships to
be exploited by Web search systems. Anchor text often accompanies a hyperlink, partially
describing the content of the linked page. ",
2157,iir,iir-2157,1.3 Processing Boolean queries," 1.3 Processing Boolean queries How do we process a query using an inverted index and the basic Boolean retrieval model ? Consider processing the simple conjunctive query: SIMPLE CONJUNCTIVE QUERIES (1.1) Brutus AND Calpurnia over the inverted index partially shown in Figure 1.3 (page 7). We: 1\. Locate Brutus in the Dictionary 2\. Retrieve its postings 3\. Locate Calpurnia in the Dictionary 4\. Retrieve its postings 5\. Intersect the two postings lists, as shown in Figure 1.5. The intersection operation is the crucial one: we need to efficiently intersect postings lists so as to be able to quickly find documents that contain both terms. (This operation is sometimes referred to as merging postings lists: this slightly counterintuitive name reflects using the term merge algorithm for a general family of algorithms that combine multiple sorted lists by interleaved advancing of pointers through each; here we are merging the lists with a logical AND operation.) There is a simple and effective method of intersecting postings lists using the merge algorithm (see Figure 1.6): we maintain pointers into both lists   1.3 Processing Boolean queries 11 INTERSECT(p1,p2) 1answer ← h i 2while p16=NIL and p26=NIL 3do if docID(p1) = docID(p2) 4then ADD(answer,docID(p1)) 5p1←next(p1) 6p2←next(p2) 7else if docID(p1)&lt;docID(p2) 8then p1←next(p1) 9else p2←next(p2) 10 return answer ◮Figure 1.6 Algorithm for the intersection of two postings lists p1and p2. and walk through the two postings lists simultaneously, in time linear in the total number of postings entries. At each step, we compare the docID pointed to by both pointers. If they are the same, we put that docID in the results list, and advance both pointers. Otherwise we advance the pointer pointing to the smaller docID. If the lengths of the postings lists are x and y, the intersection takes O(x+y)operations. Formally, the complexity of querying is Θ(N), where Nis the number of documents in the collection.6 Our indexing methods gain us just a constant, not a difference in Θtime complexity compared to a linear scan, but in practice the constant is huge. To use this algorithm, it is crucial that postings be sorted by a single global ordering. Using a numeric sort by docID is one simple way to achieve this. We can extend the intersection operation to process more complicated queries like: (1.2) (Brutus OR Caesar)AND NOT Calpurnia Query optimization is the process of selecting how to organize the work of answering a query so that the least total amount of work needs to be done by the system. A major element of this for Boolean queries is the order in which postings lists are accessed. What is the best order for query processing? Consider a query that is an AND of tterms, for instance: (1.3) Brutus AND Caesar AND Calpurnia For each of the tterms, we need to get its postings, then AND them together. The standard heuristic is to process terms in order of increasing document 6. The notation Θ(·)is used to express an asymptotically tight bound on the complexity of an algorithm. Informally, this is often written as O(·), but this notation really expresses an asymptotic upper bound, which need not be tight (Cormen et al. 1990).      12 1 Boolean retrieval INTERSECT(ht1, . . . , tni) 1terms ←SORTBYINCREASINGFREQUENCY(ht1, . . . , tni) 2result ←postings(f irst(terms)) 3terms ←rest(terms) 4while terms 6=NIL and result 6=NIL 5do result ←INTERSECT(result,postings(f irst(terms))) 6terms ←rest(terms) 7return result ◮Figure 1.7 Algorithm for conjunctive queries that returns the set of documents containing each term in the input list of terms. frequency: if we start by intersecting the two smallest postings lists, then all intermediate results must be no bigger than the smallest postings list, and we are therefore likely to do the least amount of total work. So, for the postings lists in Figure 1.3 (page 7), we execute the above query as: (1.4) (Calpurnia AND Brutus)AND Caesar This is a first justification for keeping the frequency of terms in the dictionary: it allows us to make this ordering decision based on in-memory data before accessing any postings list. Consider now the optimization of more general queries, such as: (1.5) (madding OR crowd)AND (ignoble OR strife)AND (killed OR slain) As before, we will get the frequencies for all terms, and we can then (conservatively) estimate the size of each OR by the sum of the frequencies of its disjuncts. We can then process the query in increasing order of the size of each disjunctive term. For arbitrary Boolean queries, we have to evaluate and temporarily store the answers for intermediate expressions in a complex expression. However, in many circumstances, either because of the nature of the query language, or just because this is the most common type of query that users submit, a query is purely conjunctive. In this case, rather than viewing merging postings lists as a function with two inputs and a distinct output, it is more efficient to intersect each retrieved postings list with the current intermediate result in memory, where we initialize the intermediate result by loading the postings list of the least frequent term. This algorithm is shown in Figure 1.7. The intersection operation is then asymmetric: the intermediate results list is in memory while the list it is being intersected with is being read from disk. Moreover the intermediate results list is always at least as short as the other list, and in many cases it is orders of magnitude shorter. The postings   1.3 Processing Boolean queries 13 intersection can still be done by the algorithm in Figure 1.6, but when the difference between the list lengths is very large, opportunities to use alternative techniques open up. The intersection can be calculated in place by destructively modifying or marking invalid items in the intermediate results list. Or the intersection can be done as a sequence of binary searches in the long postings lists for each posting in the intermediate results list. Another possibility is to store the long postings list as a hashtable, so that membership of an intermediate result item can be calculated in constant rather than linear or log time. However, such alternative techniques are difficult to combine with postings list compression of the sort discussed in Chapter 5. Moreover, standard postings list intersection operations remain necessary when both terms of a query are very common. ?Exercise 1.4 [⋆] For the queries below, can we still run through the intersection in time O(x+y), where xand yare the lengths of the postings lists for Brutus and Caesar? If not, what can we achieve? a. Brutus AND NOT Caesar b. Brutus OR NOT Caesar Exercise 1.5 [⋆] Extend the postings merge algorithm to arbitrary Boolean query formulas. What is its time complexity? For instance, consider: c. (Brutus OR Caesar)AND NOT (Antony OR Cleopatra) Can we always merge in linear time? Linear in what? Can we do better than this? Exercise 1.6 [⋆⋆] We can use distributive laws for AND and OR to rewrite queries. a. Show how to rewrite the query in Exercise 1.5 into disjunctive normal form using the distributive laws. b. Would the resulting query be more or less efficiently evaluated than the original form of this query? c. Is this result true in general or does it depend on the words and the contents of the document collection? Exercise 1.7 [⋆] Recommend a query processing order for d. (tangerine OR trees)AND (marmalade OR skies)AND (kaleidoscope OR eyes) given the following postings list sizes:     14 1 Boolean retrieval Term Postings size eyes 213312 kaleidoscope 87009 marmalade 107913 skies 271658 tangerine 46653 trees 316812 Exercise 1.8 [⋆] If the query is: e. friends AND romans AND (NOT countrymen) how could we use the frequency of countrymen in evaluating the best query evaluation order? In particular, propose a way of handling negation in determining the order of query processing. Exercise 1.9 [⋆⋆] For a conjunctive query, is processing postings lists in order of size guaranteed to be optimal? Explain why it is, or give an example where it isn’t. Exercise 1.10 [⋆⋆] Write out a postings merge algorithm, in the style of Figure 1.6 (page 11), for an xOR y query. Exercise 1.11 [⋆⋆] How should the Boolean query x y be handled? Why is naive evaluation of this query normally very expensive? Write out a postings merge algorithm that evaluates this query efficiently.  ",1.3
2377,mir2,mir2-2377,1.3 The IR System," 1.3 The IR System
In this section we provide a high level view of the software architecture of an IR
system. We also introduce the processes of retrieval and ranking of documents in
response to a user query.
1.3.1 Software Architecture of the IR System
To describe the IR system, we use a simple and generic software architecture as
shown in Figure 1.2. The first step in setting up an IR system is to assemble the ",
2378,mir2,mir2-2378,1.3.1 Software Architecture of the IR System," 1.3.1 Software Architecture of the IR System
To describe the IR system, we use a simple and generic software architecture as
shown in Figure 1.2. The first step in setting up an IR system is to assemble the  document collection, which can be private or be crawled from the Web. In the second
case a crawler module is responsible for collecting the documents, as we discuss in
Chapter 12. The document collection is stored in disk storage usually referred to as
the central repository. The documents in the central repository need to be indexed
for fast retrieval and ranking. The most used index structure is an inverted index
composed of all the distinct words of the collection and, for each word, a list of the
documents that contain it. Inverted indexes are discussed in Chapter 9.
Figure 1.2: High level software architecture of an IR system. Crawling is an additional
module required by Web IR systems, such as the search engines.
Given that the document collection is indexed, the retrieval process can be initiated.
It consists of retrieving documents that satisfy either a user query or a click in
a hyperlink. In the first case, we say that the user is searching for information of interest;
in the second case, we say that the user is browsing for information of interest.
In the remaining of this section, we use retrieval as it applies to the searching process.
For a more detailed discussion on browsing and how it compares to searching, see
Chapter 2.
To search, the user first specifies a query that reflects their information need.
Next, the user query is parsed and expanded with, for instance, spelling variants of
a query word. The expanded query, which we refer to as the system query, is then
processed against the index to retrieve a subset of all documents. Following, the
retrieved documents are ranked and the top documents are returned to the user.  document collection, which can be private or be crawled from the Web. In the second
case a crawler module is responsible for collecting the documents, as we discuss in
Chapter 12. The document collection is stored in disk storage usually referred to as
the central repository. The documents in the central repository need to be indexed
for fast retrieval and ranking. The most used index structure is an inverted index
composed of all the distinct words of the collection and, for each word, a list of the
documents that contain it. Inverted indexes are discussed in Chapter 9.
Figure 1.2: High level software architecture of an IR system. Crawling is an additional
module required by Web IR systems, such as the search engines.
Given that the document collection is indexed, the retrieval process can be initiated.
It consists of retrieving documents that satisfy either a user query or a click in
a hyperlink. In the first case, we say that the user is searching for information of interest;
in the second case, we say that the user is browsing for information of interest.
In the remaining of this section, we use retrieval as it applies to the searching process.
For a more detailed discussion on browsing and how it compares to searching, see
Chapter 2.
To search, the user first specifies a query that reflects their information need.
Next, the user query is parsed and expanded with, for instance, spelling variants of
a query word. The expanded query, which we refer to as the system query, is then
processed against the index to retrieve a subset of all documents. Following, the
retrieved documents are ranked and the top documents are returned to the user. ",
2379,mir2,mir2-2379,1.3.2 The Retrieval and Ranking Processes," document collection, which can be private or be crawled from the Web. In the second
case a crawler module is responsible for collecting the documents, as we discuss in
Chapter 12. The document collection is stored in disk storage usually referred to as
the central repository. The documents in the central repository need to be indexed
for fast retrieval and ranking. The most used index structure is an inverted index
composed of all the distinct words of the collection and, for each word, a list of the
documents that contain it. Inverted indexes are discussed in Chapter 9.
Figure 1.2: High level software architecture of an IR system. Crawling is an additional
module required by Web IR systems, such as the search engines.
Given that the document collection is indexed, the retrieval process can be initiated.
It consists of retrieving documents that satisfy either a user query or a click in
a hyperlink. In the first case, we say that the user is searching for information of interest;
in the second case, we say that the user is browsing for information of interest.
In the remaining of this section, we use retrieval as it applies to the searching process.
For a more detailed discussion on browsing and how it compares to searching, see
Chapter 2.
To search, the user first specifies a query that reflects their information need.
Next, the user query is parsed and expanded with, for instance, spelling variants of
a query word. The expanded query, which we refer to as the system query, is then
processed against the index to retrieve a subset of all documents. Following, the
retrieved documents are ranked and the top documents are returned to the user.  the ranking process in great detail. The top ranked documents are then formatted
for presentation to the user. The formatting consists of retrieving the title of the
documents and generating snippets for them, i.e., text excerpts that contain the
query terms, which are then displayed to the user.
 ",
2158,iir,iir-2158,1.4 The extended Boolean model versus ranked retrieval," 1.4 The extended Boolean model versus ranked retrieval The Boolean retrieval model contrasts with ranked retrieval models such as the vector space model (Section 6.3), in which users largely use free text queries, that is, just typing one or more words rather than using a precise language with operators for building up query expressions, and the system decides which documents best satisfy the query. Despite decades of academic research on the advantages of ranked retrieval, systems implementing the Boolean retrieval model were the main or only search option provided by large commercial information providers for three decades until the early 1990s (approximately the date of arrival of the World Wide Web). However, these systems did not have just the basic Boolean operations (AND,OR, and NOT) which we have presented so far. A strict Boolean expression over terms with an unordered results set is too limited for many of the information needs that people have, and these systems implemented extended Boolean retrieval models by incorporating additional operators such as term proximity operators. A proximity operator is a way of specifying that two terms in a query   1.4 The extended Boolean model versus ranked retrieval 15 must occur close to each other in a document, where closeness may be measured by limiting the allowed number of intervening words or by reference to a structural unit such as a sentence or paragraph. ✎Example 1.1: Commercial Boolean searching: Westlaw. Westlaw (http://www.westlaw.com/) is the largest commercial legal search service (in terms of the number of paying subscribers), with over half a million subscribers performing millions of searches a day over tens of terabytes of text data. The service was started in 1975. In 2005, Boolean search (called “Terms and Connectors” by Westlaw) was still the default, and used by a large percentage of users, although ranked free text querying (called “Natural Language” by Westlaw) was added in 1992. Here are some example Boolean queries on Westlaw: Information need: Information on the legal theories involved in preventing the disclosure of trade secrets by employees formerly employed by a competing company. Query: ""trade secret"" /s disclos! /s prevent /s employe! Information need: Requirements for disabled people to be able to access a workplace. Query: disab! /p access! /s work-site work-place (employment /3 place) Information need: Cases about a host’s responsibility for drunk guests. Query: host! /p (responsib! liab!) /p (intoxicat! drunk!) /p guest Note the long, precise queries and the use of proximity operators, both uncommon in web search. Submitted queries average about ten words in length. Unlike web search conventions, a space between words represents disjunction (the tightest binding operator), &amp; is AND and /s, /p, and /kask for matches in the same sentence, same paragraph or within kwords respectively. Double quotes give a phrase search (consecutive words); see Section 2.4 (page 39). The exclamation mark (!) gives a trailing wildcard query (see Section 3.2, page 51); thus liab! matches all words starting with liab. Additionally work-site matches any of worksite,work-site or work site; see Section 2.2.1 (page 22). Typical expert queries are usually carefully defined and incrementally developed until they obtain what look to be good results to the user. Many users, particularly professionals, prefer Boolean query models. Boolean queries are precise: a document either matches the query or it does not. This offers the user greater control and transparency over what is retrieved. And some domains, such as legal materials, allow an effective means of document ranking within a Boolean model: Westlaw returns documents in reverse chronological order, which is in practice quite effective. In 2007, the majority of law librarians still seem to recommend terms and connectors for high recall searches, and the majority of legal users think they are getting greater control by using them. However, this does not mean that Boolean queries are more effective for professional searchers. Indeed, experimenting on a Westlaw subcollection, Turtle (1994) found that free text queries produced better results than Boolean queries prepared by Westlaw’s own reference librarians for the majority of the information needs in his experiments. A general problem with Boolean search is that using AND operators tends to produce high precision but low recall searches, while using OR operators gives low precision but high recall searches, and it is difficult or impossible to find a satisfactory middle ground. In this chapter, we have looked at the structure and construction of a basic     16 1 Boolean retrieval inverted index, comprising a dictionary and postings lists. We introduced the Boolean retrieval model, and examined how to do efficient retrieval via linear time merges and simple query optimization. In Chapters 2–7we will consider in detail richer query models and the sort of augmented index structures that are needed to handle them efficiently. Here we just mention a few of the main additional things we would like to be able to do: 1\. We would like to better determine the set of terms in the dictionary and to provide retrieval that is tolerant to spelling mistakes and inconsistent choice of words. 2\. It is often useful to search for compounds or phrases that denote a concept such as “operating system”. As the Westlaw examples show, we might also wish to do proximity queries such as Gates NEAR Microsoft. To answer such queries, the index has to be augmented to capture the proximities of terms in documents. 3\. A Boolean model only records term presence or absence, but often we would like to accumulate evidence, giving more weight to documents that have a term several times as opposed to ones that contain it only once. To be able to do this we need term frequency information (the number of times a term occurs in a document) in postings lists. 4\. Boolean queries just retrieve a set of matching documents, but commonly we wish to have an effective method to order (or “rank”) the returned results. This requires having a mechanism for determining a document score which encapsulates how good a match a document is for a query. With these additional ideas, we will have seen most of the basic technology that supports ad hoc searching over unstructured information. Ad hoc searching over documents has recently conquered the world, powering not only web search engines but the kind of unstructured search that lies behind the large eCommerce websites. Although the main web search engines differ by emphasizing free text querying, most of the basic issues and technologies of indexing and querying remain the same, as we will see in later chapters. Moreover, over time, web search engines have added at least partial implementations of some of the most popular operators from extended Boolean models: phrase search is especially popular and most have a very partial implementation of Boolean operators. Nevertheless, while these options are liked by expert searchers, they are little used by most people and are not the main focus in work on trying to improve web search engine performance. ?Exercise 1.12 [⋆] Write a query using Westlaw syntax which would find any of the words professor, teacher, or lecturer in the same sentence as a form of the verb explain.     1.5 References and further reading 17 Exercise 1.13 [⋆] Try using the Boolean search features on a couple of major web search engines. For instance, choose a word, such as burglar, and submit the queries (i) burglar, (ii) burglar AND burglar, and (iii) burglar OR burglar. Look at the estimated number of results and top hits. Do they make sense in terms of Boolean logic? Often they haven’t for major search engines. Can you make sense of what is going on? What about if you try different words? For example, query for (i) knight, (ii) conquer, and then (iii) knight OR conquer. What bound should the number of results from the first two queries place on the third query? Is this bound observed? 1.5 References and further reading The practical pursuit of computerized information retrieval began in the late 1940s (Cleverdon 1991,Liddy 2005). A great increase in the production of scientific literature, much in the form of less formal technical reports rather than traditional journal articles, coupled with the availability of computers, led to interest in automatic document retrieval. However, in those days, document retrieval was always based on author, title, and keywords; full-text search came much later. The article of Bush (1945) provided lasting inspiration for the new field: “Consider a future device for individual use, which is a sort of mechanized private file and library. It needs a name, and, to coin one at random, ‘memex’ will do. A memex is a device in which an individual stores all his books, records, and communications, and which is mechanized so that it may be consulted with exceeding speed and flexibility. It is an enlarged intimate supplement to his memory.” The term Information Retrieval was coined by Calvin Mooers in 1948/1950 (Mooers 1950). In 1958, much newspaper attention was paid to demonstrations at a conference (see Taube and Wooster 1958) of IBM “auto-indexing” machines, based primarily on the work of H. P. Luhn. Commercial interest quickly gravitated towards Boolean retrieval systems, but the early years saw a heady debate over various disparate technologies for retrieval systems. For example Mooers (1961) dissented: “It is a common fallacy, underwritten at this date by the investment of several million dollars in a variety of retrieval hardware, that the algebra of George Boole (1847) is the appropriate formalism for retrieval system design. This view is as widely and uncritically accepted as it is wrong.” The observation of AND vs. OR giving you opposite extremes in a precision/ recall tradeoff, but not the middle ground comes from (Lee and Fox 1988).  ",1.4
2380,mir2,mir2-2380,1.4 The Web," 1.4 The Web
In this section we discuss the creation of the Web and its major implication – the
advent of the e-publishing age. We also discuss how the Web changed search, i.e., the
major impacts of the Web on the search task. At the end, we cover practical issues,
such as security and copyright, which derive directly from the massive presence of
millions of users on the Web ",
2381,mir2,mir2-2381,1.4.1 A Brief History," 1.4.1 A Brief History
At the end of World War II, US President Franklin Roosevelt asked Vannevar Bush,
then occupying very high level government positions, for recommendations on applications
of technologies learnt during the war to peace times. Bush first produced a
report entitled “Science, The Endless Frontier” which directly influenced the creation
of the National Science Foundation. Following, he wrote “As We May Think” [303],
a remarkable paper that discussed new hardware and software gadgets that could be
invented in the upcoming years. In Bush’s words,
Whole new forms of encyclopedias will appear, ready-made with a mesh
of associative trails running through them, ready to be dropped into the
memex and there amplified [303].
“As We May Think” influenced people like Douglas Engelbart who, at the Fall
Joint Computer Conference in San Francisco in December of 1968, ran a demonstration
in which he introduced the first ever computer mouse, video conferencing,
teleconferencing, and hypertext. It was so incredible that it became known as “the
mother of all demos” [1690]. Of the innovations displayed, the one that interests
us the most here is hypertext. The term was coined by Ted Nelson in his Project
Xanadu [1691].
Hypertext allows the reader to jump from one electronic document to another,
which was one important property regarding the problem Tim Berners-Lee faced in
1989. At the time, Berners-Lee worked in Geneva at the CERN – Conseil Europ´een
pour la Recherche Nucl´eaire. There, researchers who wanted to share documentation
with others had to reformat their documents to make them compatible with an internal
publishing system [803]. It was annoying and generated many questions, many
of which ended up been directed towards Berners-Lee. He understood that a better
solution was required.
It just so happened that CERN was the largest Internet node in Europe. BernersLee
reasoned that it would be nice if the solution to the problem of sharing documents
were decentralized, such that the researchers could share their contributions freely.
He saw that a networked hypertext, through the Internet, would be a good solution
and started working on its implementation. In 1990, he wrote the HTTP protocol,
defined the HTML language, wrote the first browser, which he called “World Wide
Web”, and the first Web server. In 1991, he made his browser and server software
available in the Internet. The Web was born.
 ",
